
;======================================================== ~~  ~~ =========================================================;
;================================================ ~~ SID&STAR-Section ~~ =================================================;
[SIDSSTARS]
STAR:EFKE:18:BEXUL4K:BEXUL XULBI LEGVU ;  Combiner=EFKE1/5 | ID=18_BEXU4K
STAR:EKCH:22L:TESPI3C:TESPI ROSBI TNO CH653 CH645 CH638 CH631 CH626 ABEGI LAMOX OXS93 EXTAR CH2LF ;  Combiner=EKCH1/5A*I* | ID=22L_TESP3C_ABEGI_I
STAR:EKCH:22L:TIDVU2C:TIDVU ESJAH CH641 CH636 CH630 CH625 ADOVI LAMOX OXS93 EXTAR CH2LF ;  Combiner=EKCH1/5A*I* | ID=22L_TIDV2C_ADOVI_I
STAR:EKCH:22L:TUDLO3C:TUDLO LUGAS KOR CH654 CH645 CH638 CH631 CH626 ABEGI LAMOX OXS93 EXTAR CH2LF ;  Combiner=EKCH1/5A*I* | ID=22L_TUDL3C_ABEGI_I
STAR:EKCH:22R:ERNOV3C:ERNOV CH647 CH637 CH631 CH626 ABEGI LAMOX KLK93 RUCCI CH2RF ;  Combiner=EKCH1/5A*I* | ID=22R_ERNO3C_ABEGI_I
STAR:EKCH:22R:MONAK4C:MONAK OLPIB NEKSO CH643 CH636 CH630 CH625 ADOVI LAMOX KLK93 RUCCI CH2RF ;  Combiner=EKCH1/5A*I* | ID=22R_MONA4C_ADOVI_I
STAR:EKCH:22R:TESPI3C:TESPI ROSBI TNO CH653 CH645 CH638 CH631 CH626 ABEGI LAMOX KLK93 RUCCI CH2RF ;  Combiner=EKCH1/5A*I* | ID=22R_TESP3C_ABEGI_I
STAR:EKCH:22R:TIDVU2C:TIDVU ESJAH CH641 CH636 CH630 CH625 ADOVI LAMOX KLK93 RUCCI CH2RF ;  Combiner=EKCH1/5A*I* | ID=22R_TIDV2C_ADOVI_I
STAR:EKCH:22R:TUDLO3C:TUDLO LUGAS KOR CH654 CH645 CH638 CH631 CH626 ABEGI LAMOX KLK93 RUCCI CH2RF ;  Combiner=EKCH1/5A*I* | ID=22R_TUDL3C_ABEGI_I
STAR:EKCH:30:ERNOV3D:ERNOV CH956 CH949 CH941 CH932 CH925 HOFFO ORZIH CH30F ;  Combiner=EKCH1/5A*I* | ID=30_ERNO3D_HOFFO_I
STAR:EKCH:30:MONAK4D:MONAK OLPIB KUBIS CH930 COPHO ULTIS OY93 ORZIH CH30F ;  Combiner=EKCH1/5A*I* | ID=30_MONA4D_COPHO_I
STAR:EKCH:30:TESPI4D:TESPI ROSBI TNO CH969 CH949 CH941 CH932 CH925 HOFFO ORZIH CH30F ;  Combiner=EKCH1/5A*I* | ID=30_TESP4D_HOFFO_I
STAR:EKCH:30:TIDVU3D:TIDVU WUPJA CH940 CH932 CH925 HOFFO ORZIH CH30F ;  Combiner=EKCH1/5A*I* | ID=30_TIDV3D_HOFFO_I
STAR:EKCH:30:TUDLO3D:TUDLO LUGAS KOR CH947 CH930 COPHO ULTIS OY93 ORZIH CH30F ;  Combiner=EKCH1/5A*I* | ID=30_TUDL3D_COPHO_I
STAR:EKRN:11:ODMEI:ODMEI CI11 FI11 ;  Combiner=EKRN1/AI* | ID=11_ODMEI_I-Z
STAR:EKRN:11:ROE1:ROE D275I CI11 FI11 ;  Combiner=EKRN1/AI* | ID=11_ROE1_I-Z
STAR:EKRN:11:ROE2:ROE D279I CI11 FI11 ;  Combiner=EKRN1/AI* | ID=11_ROE2_I-Z
STAR:EKRN:11:LUKAG·RNP·Z:LUKAG MOQAQ POWQU ;  Combiner=EKRN1/AR | ID=11_LUKAG_R-Z
STAR:EKRN:11:OGTET·RNP·Z:OGTET MOQAQ POWQU ;  Combiner=EKRN1/AR | ID=11_OGTET_R-Z
STAR:EKRN:11:UMVAP·RNP·Z:UMVAP MOQAQ POWQU ;  Combiner=EKRN1/AR | ID=11_UMVAP_R-Z
STAR:EKRN:11:LUKAG·RNP·Y:LUKAG MOQAQ POWQU ;  Combiner=EKRN1/AR | ID=11_LUKAG_R-Y
STAR:EKRN:11:OGTET·RNP·Y:OGTET MOQAQ POWQU ;  Combiner=EKRN1/AR | ID=11_OGTET_R-Y
STAR:EKRN:11:UMVAP·RNP·Y:UMVAP MOQAQ POWQU ;  Combiner=EKRN1/AR | ID=11_UMVAP_R-Y
STAR:EKRN:11:LUKAG·RNP·X:LUKAG MOQAQ POWQU ;  Combiner=EKRN1/AR | ID=11_LUKAG_R-X
STAR:EKRN:11:OGTET·RNP·X:OGTET MOQAQ POWQU ;  Combiner=EKRN1/AR | ID=11_OGTET_R-X
STAR:EKRN:11:UMVAP·RNP·X:UMVAP MOQAQ POWQU ;  Combiner=EKRN1/AR | ID=11_UMVAP_R-X
STAR:EKRN:29:ULRED:ULRED CI29 FI29 ;  Combiner=EKRN1/AI* | ID=29_ULRED_I-Z
STAR:EKRN:29:ROE:ROE FAU D164D CI29 FI29 ;  Combiner=EKRN1/3A*I* | ID=29_ROE_FAU1_I-Z
STAR:EKRN:29:ASBAX·RNP·Z:ASBAX ALDEQ RN29F ;  Combiner=EKRN1/AR | ID=29_ASBAX_R-Z
STAR:EKRN:29:GOTOG·RNP·Z:GOTOG ALDEQ RN29F ;  Combiner=EKRN1/AR | ID=29_GOTOG_R-Z
STAR:EKRN:29:INVIR·RNP·Z:INVIR ALDEQ RN29F ;  Combiner=EKRN1/AR | ID=29_INVIR_R-Z
STAR:EKRN:29:ASBAX·RNP·Y:ASBAX ALDEQ RN29F ;  Combiner=EKRN1/AR | ID=29_ASBAX_R-Y
STAR:EKRN:29:GOTOG·RNP·Y:GOTOG ALDEQ RN29F ;  Combiner=EKRN1/AR | ID=29_GOTOG_R-Y
STAR:EKRN:29:INVIR·RNP·Y:INVIR ALDEQ RN29F ;  Combiner=EKRN1/AR | ID=29_INVIR_R-Y
STAR:EKRN:29:ASBAX·RNP·X:ASBAX ALDEQ RN29F ;  Combiner=EKRN1/AR | ID=29_ASBAX_R-X
STAR:EKRN:29:GOTOG·RNP·X:GOTOG ALDEQ RN29F ;  Combiner=EKRN1/AR | ID=29_GOTOG_R-X
STAR:EKRN:29:INVIR·RNP·X:INVIR ALDEQ RN29F ;  Combiner=EKRN1/AR | ID=29_INVIR_R-X
STAR:ESCF:01:LCF·ILS·Y:LCF CF01 FF01 ;  Combiner=ESCF1/AI | ID=01_LCF_I-Y
STAR:ESCF:01:OVHD·CF:ESCF ;  Combiner=ESCF1/2 | ID=01_OVHD-CF
STAR:ESCF:01:L·CF722·ILS·Z:CF722 CF721 FF01 ;  Combiner=ESCF1/6AI | ID=01_L_CF722_I-Z
STAR:ESCF:01:R·CF550·ILS·Z:CF550 CF721 FF01 ;  Combiner=ESCF1/6AI | ID=01_R_CF550_I-Z
STAR:ESCF:01:S·CF723·ILS·Z:CF723 CF721 FF01 ;  Combiner=ESCF1/6AI | ID=01_S_CF723_I-Z
STAR:ESCF:01:L·CF722·RNP:CF722 CF721 CF720 ;  Combiner=ESCF1/6AR | ID=01_L_CF722_R
STAR:ESCF:01:R·CF550·RNP:CF550 CF721 CF720 ;  Combiner=ESCF1/6AR | ID=01_R_CF550_R
STAR:ESCF:01:S·CF723·RNP:CF723 CF721 CF720 ;  Combiner=ESCF1/6AR | ID=01_S_CF723_R
STAR:ESCF:01:LCF·NDB·Z:LCF FQ01 ;  Combiner=ESCF1/AN | ID=01_LCF_N-Z
STAR:ESCF:01:LCF·NDB·Y:LCF ;  Combiner=ESCF1/AN | ID=01_LCF_N-Y
STAR:ESCF:19:SIRJO·ILS:SIRJO CF531 FF19 ;  Combiner=ESCF1/AI | ID=19_SIRJO_I
STAR:ESCF:19:OVHD·CF:ESCF ;  Combiner=ESCF1/2 | ID=19_OVHD-CF
STAR:ESCF:19:L·CF532·ILS:CF532 CF531 FF19 ;  Combiner=ESCF1/6AI | ID=19_L_CF532_I
STAR:ESCF:19:R·CF850·ILS:CF850 CF531 FF19 ;  Combiner=ESCF1/6AI | ID=19_R_CF850_I
STAR:ESCF:19:S·CF533·ILS:CF533 CF531 FF19 ;  Combiner=ESCF1/6AI | ID=19_S_CF533_I
STAR:ESCF:19:L·CF532·RNP:CF532 CF531 CF530 ;  Combiner=ESCF1/6AR | ID=19_L_CF532_R
STAR:ESCF:19:R·CF850·RNP:CF850 CF531 CF530 ;  Combiner=ESCF1/6AR | ID=19_R_CF850_R
STAR:ESCF:19:S·CF533·RNP:CF533 CF531 CF530 ;  Combiner=ESCF1/6AR | ID=19_S_CF533_R
STAR:ESCF:08:OVHD·CF:ESCF ;  Combiner=ESCF1/2 | ID=08_OVHD-CF
STAR:ESCF:26:OVHD·CF:ESCF ;  Combiner=ESCF1/2 | ID=26_OVHD-CF
STAR:ESCM:03:UP·RUWER·RNP:UP RUWER CM701 CM700 ;  Combiner=ESCM1/3AR | ID=03_UP_RUWER_R
STAR:ESCM:03:OVHD·CM:ESCM ;  Combiner=ESCM1/2 | ID=03_OVHD-CM
STAR:ESCM:03:L·RUWER·RNP:RUWER CM701 CM700 ;  Combiner=ESCM1/6AR | ID=03_L_RUWER_R
STAR:ESCM:03:R·CM703·RNP:CM703 CM701 CM700 ;  Combiner=ESCM1/6AR | ID=03_R_CM703_R
STAR:ESCM:03:S·CM702·RNP:CM702 CM701 CM700 ;  Combiner=ESCM1/6AR | ID=03_S_CM702_R
STAR:ESCM:08:UP·XIBTI·RNP:UP XIBTI CM706 CM705 ;  Combiner=ESCM1/3AR | ID=08_UP_XIBTI_R
STAR:ESCM:08:OVHD·CM:ESCM ;  Combiner=ESCM1/2 | ID=08_OVHD-CM
STAR:ESCM:08:L·XIBTI·RNP:XIBTI CM706 CM705 ;  Combiner=ESCM1/6AR | ID=08_L_XIBTI_R
STAR:ESCM:08:R·CM708·RNP:CM708 CM706 CM705 ;  Combiner=ESCM1/6AR | ID=08_R_CM708_R
STAR:ESCM:08:S·CM707·RNP:CM707 CM706 CM705 ;  Combiner=ESCM1/6AR | ID=08_S_CM707_R
STAR:ESCM:21:UP·ILS:UP CF21 FF21 ;  Combiner=ESCM1/AI | ID=21_UP_I
STAR:ESCM:21:OVHD·CM:ESCM ;  Combiner=ESCM1/2 | ID=21_OVHD-CM
STAR:ESCM:21:L·CM503·RNP:CM503 CM501 CM500 ;  Combiner=ESCM1/6AR | ID=21_L_CM503_R
STAR:ESCM:21:R·PASCA·RNP:PASCA CM501 CM500 ;  Combiner=ESCM1/6AR | ID=21_R_PASCA_R
STAR:ESCM:21:S·CM502·RNP:CM502 CM501 CM500 ;  Combiner=ESCM1/6AR | ID=21_S_CM502_R
STAR:ESCM:21:UP·NDBDME:UP FF21 ;  Combiner=ESCM1/AQ | ID=21_UP_Q
STAR:ESCM:26:UP·BYGDE·RNP:UP BYGDE CM506 CM505 ;  Combiner=ESCM1/3AR | ID=26_UP_BYGDE_R
STAR:ESCM:26:OVHD·CM:ESCM ;  Combiner=ESCM1/2 | ID=26_OVHD-CM
STAR:ESCM:26:L·CM550·RNP:CM550 CM506 CM505 ;  Combiner=ESCM1/6AR | ID=26_L_CM550_R
STAR:ESCM:26:R·BYGDE·RNP:BYGDE CM506 CM505 ;  Combiner=ESCM1/6AR | ID=26_R_BYGDE_R
STAR:ESCM:26:S·CM507·RNP:CM507 CM506 CM505 ;  Combiner=ESCM1/6AR | ID=26_S_CM507_R
STAR:ESDF:01:SUXEM·ILS:SUXEM FF01 ;  Combiner=ESDF1/AI | ID=01_SUXEM_I
STAR:ESDF:01:OVHD·DF:ESDF ;  Combiner=ESDF1/2 | ID=01_OVHD-DF
STAR:ESDF:19:EKLOV·ILS:EKLOV FI19 ;  Combiner=ESDF1/AI | ID=19_EKLOV_I
STAR:ESDF:19:OVHD·DF:ESDF ;  Combiner=ESDF1/2 | ID=19_OVHD-DF
STAR:ESDF:01:L·DF711·ILS:DF711 SUXEM FF01 ;  Combiner=ESDF2/6AI | ID=01_L_DF711_I
STAR:ESDF:01:R·DF550·ILS:DF550 SUXEM FF01 ;  Combiner=ESDF2/6AI | ID=01_R_DF550_I
STAR:ESDF:01:S·DF712·ILS:DF712 SUXEM FF01 ;  Combiner=ESDF2/6AI | ID=01_S_DF712_I
STAR:ESDF:01:L·DF711·RNP:DF711 SUXEM DF713 ;  Combiner=ESDF2/6AR | ID=01_L_DF711_R
STAR:ESDF:01:R·DF550·RNP:DF550 SUXEM DF713 ;  Combiner=ESDF2/6AR | ID=01_R_DF550_R
STAR:ESDF:01:S·DF712·RNP:DF712 SUXEM DF713 ;  Combiner=ESDF2/6AR | ID=01_S_DF712_R
STAR:ESDF:01:SUXEM·1·ILS:KOTAM DF711 SUXEM FF01 ;  Combiner=ESDF2/3A*I | ID=01_SUXEM-1_SUXEM_I
STAR:ESDF:01:SUXEM·2·ILS:LAGIS DF550 SUXEM FF01 ;  Combiner=ESDF2/3A*I | ID=01_SUXEM-2_SUXEM_I
STAR:ESDF:01:SUXEM·3·ILS:TEMLI DF550 SUXEM FF01 ;  Combiner=ESDF2/3A*I | ID=01_SUXEM-3_SUXEM_I
STAR:ESDF:19:L·DF531·ILS:DF531 EKLOV FI19 ;  Combiner=ESDF2/6AI | ID=19_L_DF531_I
STAR:ESDF:19:R·DF850·ILS:DF850 EKLOV FI19 ;  Combiner=ESDF2/6AI | ID=19_R_DF850_I
STAR:ESDF:19:S·DF532·ILS:DF532 EKLOV FI19 ;  Combiner=ESDF2/6AI | ID=19_S_DF532_I
STAR:ESDF:19:L·DF531·RNP:DF531 EKLOV DF534 ;  Combiner=ESDF2/6AR | ID=19_L_DF531_R
STAR:ESDF:19:R·DF850·RNP:DF850 EKLOV DF534 ;  Combiner=ESDF2/6AR | ID=19_R_DF850_R
STAR:ESDF:19:S·DF532·RNP:DF532 EKLOV DF534 ;  Combiner=ESDF2/6AR | ID=19_S_DF532_R
STAR:ESDF:19:EKLOV·1·ILS:KOTAM DF850 EKLOV FI19 ;  Combiner=ESDF2/3A*I | ID=19_EKLOV-1_EKLOV_I
STAR:ESDF:19:EKLOV·2·ILS:LAGIS DF531 EKLOV FI19 ;  Combiner=ESDF2/3A*I | ID=19_EKLOV-2_EKLOV_I
STAR:ESDF:19:EKLOV·3·ILS:TEMLI DF532 EKLOV FI19 ;  Combiner=ESDF2/3A*I | ID=19_EKLOV-3_EKLOV_I
STAR:ESGG:03:ARQUS1L:ARQUS GG630 GG631 GG710 GG709 GG708 FF03 ;  Combiner=ESGG1/5I* | ID=03_ARQU1L_I
STAR:ESGG:03:KELIN3L:KELIN GG920 GG921 GG721 GG735 GG719 GG718 GG708 FF03 ;  Combiner=ESGG1/5I* | ID=03_KELI3L_I
STAR:ESGG:03:LOBI5L:LOBBI GG733 GG716 GG717 GG713 GG708 FF03 ;  Combiner=ESGG1/5I* | ID=03_LOBI5L_I
STAR:ESGG:03:MAKUR5L:MAKUR GG734 GG716 GG717 GG713 GG708 FF03 ;  Combiner=ESGG1/5I* | ID=03_MAKU5L_I
STAR:ESGG:03:MOXAM3L:MOXAM GG920 GG921 GG721 GG735 GG719 GG718 GG708 FF03 ;  Combiner=ESGG1/5I* | ID=03_MOXA3L_I
STAR:ESGG:03:NEGIL3L:NEGIL GG920 GG921 GG721 GG735 GG719 GG718 GG708 FF03 ;  Combiner=ESGG1/5I* | ID=03_NEGI3L_I
STAR:ESGG:03:RISMA4L:RISMA GG732 GG712 GG713 GG708 FF03 ;  Combiner=ESGG1/5I* | ID=03_RISM4L_I
STAR:ESGG:03:KELIN3K:KELIN VEMAS TOMVI GG708 FF03 ;  Combiner=ESGG1/5A*I* | ID=03_KELI3K_TOMVI_I
STAR:ESGG:03:LOBI4K:LOBBI TOMVI GG708 FF03 ;  Combiner=ESGG1/5A*I* | ID=03_LOBI4K_TOMVI_I
STAR:ESGG:03:MAKUR4K:MAKUR TOMVI GG708 FF03 ;  Combiner=ESGG1/5A*I* | ID=03_MAKU4K_TOMVI_I
STAR:ESGG:03:MOXAM3K:MOXAM VEMAS TOMVI GG708 FF03 ;  Combiner=ESGG1/5A*I* | ID=03_MOXA3K_TOMVI_I
STAR:ESGG:03:NEGIL3K:NEGIL VEMAS TOMVI GG708 FF03 ;  Combiner=ESGG1/5A*I* | ID=03_NEGI3K_TOMVI_I
STAR:ESGG:03:RISMA3K:RISMA TOMVI GG708 FF03 ;  Combiner=ESGG1/5A*I* | ID=03_RISM3K_TOMVI_I
STAR:ESGG:21:ARQUS1S:ARQUS GG550 GG551 GG552 GG438 GG437 GG436 GG404 FF21 ;  Combiner=ESGG1/5I* | ID=21_ARQU1S_I
STAR:ESGG:21:KELIN3S:KELIN GG933 GG431 GG432 GG404 FF21 ;  Combiner=ESGG1/5I* | ID=21_KELI3S_I
STAR:ESGG:21:LOBI4S:LOBBI ELBUX GG932 GG931 GG930 GG432 GG404 FF21 ;  Combiner=ESGG1/5I* | ID=21_LOBI4S_I
STAR:ESGG:21:MAKUR4S:MAKUR ELBUX GG932 GG931 GG930 GG432 GG404 FF21 ;  Combiner=ESGG1/5I* | ID=21_MAKU4S_I
STAR:ESGG:21:MOXAM4S:MOXAM GG434 GG435 GG430 GG404 FF21 ;  Combiner=ESGG1/5I* | ID=21_MOXA4S_I
STAR:ESGG:21:NEGIL3S:NEGIL GG433 GG439 GG416 GG432 GG404 FF21 ;  Combiner=ESGG1/5I* | ID=21_NEGI3S_I
STAR:ESGG:21:RISMA3S:RISMA ELBUX GG932 GG931 GG930 GG432 GG404 FF21 ;  Combiner=ESGG1/5I* | ID=21_RISM3S_I
STAR:ESGG:21:KELIN3T:KELIN MAXIV GG404 FF21 ;  Combiner=ESGG1/5A*I* | ID=21_KELI3T_MAXIV_I
STAR:ESGG:21:LOBI4T:LOBBI ELBUX MAXIV GG404 FF21 ;  Combiner=ESGG1/5A*I* | ID=21_LOBI4T_MAXIV_I
STAR:ESGG:21:MAKUR4T:MAKUR ELBUX MAXIV GG404 FF21 ;  Combiner=ESGG1/5A*I* | ID=21_MAKU4T_MAXIV_I
STAR:ESGG:21:MOXAM3T:MOXAM MAXIV GG404 FF21 ;  Combiner=ESGG1/5A*I* | ID=21_MOXA3T_MAXIV_I
STAR:ESGG:21:NEGIL3T:NEGIL MAXIV GG404 FF21 ;  Combiner=ESGG1/5A*I* | ID=21_NEGI3T_MAXIV_I
STAR:ESGG:21:RISMA3T:RISMA ELBUX MAXIV GG404 FF21 ;  Combiner=ESGG1/5A*I* | ID=21_RISM3T_MAXIV_I
STAR:ESGG:03:ARQUS1Q·RNP·Y:ARQUS GG630 GG632 OXJAG GG724 GG723 GG722 ;  Combiner=ESGG2/5A*R | ID=03_ARQU1Q_OXJAG_R-Y
STAR:ESGG:21:ARQUS1X·RNP·Y:ARQUS GG550 GG551 WAZZO GG494 GG496 GG493 GG498 ;  Combiner=ESGG2/5A*R | ID=21_ARQU1X_WAZZO_R-Y
STAR:ESGG:03:GG708·RNP·Z:GG708 GG736 ;  Combiner=ESGG3/AR | ID=03_GG708_R-Z
STAR:ESGG:03:OXJAG·RNP·Y:OXJAG GG724 GG723 GG722 ;  Combiner=ESGG3/AR | ID=03_OXJAG_R-Y
STAR:ESGG:03:SL·NDBDME:SL FQ03 ;  Combiner=ESGG3/AQ | ID=03_SL_Q
STAR:ESGG:21:GG404·RNP·Z:GG404 GG425 ;  Combiner=ESGG3/AR | ID=21_GG404_R-Z
STAR:ESGG:21:WAZZO·RNP·Y:WAZZO GG494 GG496 GG493 GG498 ;  Combiner=ESGG3/AR | ID=21_WAZZO_R-Y
STAR:ESGG:21:NL·NDBDME:NL FQ21 NL ;  Combiner=ESGG3/AQ | ID=21_NL_Q
STAR:ESGJ:01:JON·ILS:JON OJ GOLAV CI01 FI01 ;  Combiner=ESGJ1/3A*I | ID=01_JON_GOLAV_I
STAR:ESGJ:01:DEVNI4K:DEVNI GJ721 GOLAV CI01 FI01 ;  Combiner=ESGJ1/5A*I* | ID=01_DEVN4K_GOLAV_I
STAR:ESGJ:01:NEGAS4K:NEGAS IXOLA GJ570 GOLAV CI01 FI01 ;  Combiner=ESGJ1/5A*I* | ID=01_NEGA4K_GOLAV_I
STAR:ESGJ:01:DEVNI6E:DEVNI D181Q CI01 FI01 ;  Combiner=ESGJ1/2I* | ID=01_DEVN6E_I
STAR:ESGJ:01:NEGAS6E:NEGAS D050M D179K CI01 FI01 ;  Combiner=ESGJ1/2I* | ID=01_NEGA6E_I
STAR:ESGJ:01:OJ·ILS:OJ CI01 FI01 ;  Combiner=ESGJ1/AI | ID=01_OJ_I
STAR:ESGJ:01:GJ742·RNP:GJ742 GOLAV GJ740 ;  Combiner=ESGJ1/AR | ID=01_GJ742_R
STAR:ESGJ:01:OJ·NDBDME:OJ FQ01 OJ 23DME ;  Combiner=ESGJ1/AQ | ID=01_OJ_Q
STAR:ESGJ:19:BAMAX·ILS:BAMAX CI19 OA ;  Combiner=ESGJ1/AI | ID=19_BAMAX_I
STAR:ESGJ:19:JON·ILS:JON OA BAMAX CI19 OA ;  Combiner=ESGJ1/3A*I | ID=19_JON_BAMAX_I
STAR:ESGJ:19:DEVNI4L:DEVNI GJ720 GJ870 BAMAX CI19 OA ;  Combiner=ESGJ1/5A*I* | ID=19_DEVN4L_BAMAX_I
STAR:ESGJ:19:NEGAS4L:NEGAS GJ420 BAMAX CI19 OA ;  Combiner=ESGJ1/5A*I* | ID=19_NEGA4L_BAMAX_I
STAR:ESGJ:19:DEVNI6F:DEVNI D181Q D181M D023K CI19 OA ;  Combiner=ESGJ1/2I* | ID=19_DEVN6F_I
STAR:ESGJ:19:NEGAS6F:NEGAS D050M D023K CI19 OA ;  Combiner=ESGJ1/2I* | ID=19_NEGA6F_I
STAR:ESGJ:19:OA·ILS:OA CI19 OA ;  Combiner=ESGJ1/AI | ID=19_OA_I
STAR:ESGJ:19:GJ542·RNP:GJ542 BAMAX GJ540 ;  Combiner=ESGJ1/AR | ID=19_GJ542_R
STAR:ESGJ:19:OA·NDB:OA CN19 OA ;  Combiner=ESGJ1/AN | ID=19_OA_N
STAR:ESGP:19:L·GP402·RNP:GP402 GP403 GP404 ;  Combiner=ESGP1/6AR | ID=19_L_GP402_R
